00 testapp
00 01
00 testapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:07:22 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):63420.79  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):66328.4 force plate (fx, fy, fz, mx, my, mz):-0.1924133,0.7185287,-0.1794434,-0.1311646,5.97287,0.02034187
01 timestamp(ms):66351.05 force plate (fx, fy, fz, mx, my, mz):-0.1952534,0.7140293,-0.3654785,0.02532959,6.005859,0.01918268
01 timestamp(ms):66373.2 force plate (fx, fy, fz, mx, my, mz):-0.199255,0.9635067,-0.3654785,-0.08972168,6.005737,0.06161356
01 timestamp(ms):66395.45 force plate (fx, fy, fz, mx, my, mz):-0.228651,-1.417953,0.9592285,-1.779602,7.239655,0.2000117
01 timestamp(ms):66417.83 force plate (fx, fy, fz, mx, my, mz):-0.2231197,-1.418549,0.7736816,-1.831116,7.272919,0.115603
01 timestamp(ms):66439.84 force plate (fx, fy, fz, mx, my, mz):-0.2238522,-1.420166,0.5866699,-1.779236,7.305939,0.1151175
02 timestamp(ms):63445.56 rotation(x,y,z):0,0,-0.895
02 timestamp(ms):63465.38 rotation(x,y,z):0,0,-1.832
02 timestamp(ms):63487.28 rotation(x,y,z):0,0,-2.71
02 timestamp(ms):63509.06 rotation(x,y,z):0,0,-3.585
02 timestamp(ms):63531.35 rotation(x,y,z):0,0,-4.458
02 timestamp(ms):63553.57 rotation(x,y,z):0,0,-5.35
02 timestamp(ms):63576.21 rotation(x,y,z):0,0,-6.24
02 timestamp(ms):63598.7 rotation(x,y,z):0,0,-7.141
02 timestamp(ms):63620.25 rotation(x,y,z):0,0,-8.045
02 timestamp(ms):63643.72 rotation(x,y,z):0,0,-8.904
02 timestamp(ms):63663.69 rotation(x,y,z):0,0,-9.844
02 timestamp(ms):63686.02 rotation(x,y,z):0,0,-10.644
02 timestamp(ms):63708.87 rotation(x,y,z):0,0,-11.541
02 timestamp(ms):63730.6 rotation(x,y,z):0,0,-12.452
02 timestamp(ms):63752.5 rotation(x,y,z):0,0,-13.314
02 timestamp(ms):63774.94 rotation(x,y,z):0,0,-14.197
02 timestamp(ms):63797.08 rotation(x,y,z):0,0,-15
02 timestamp(ms):63819.27 rotation(x,y,z):0,0,-14.112
02 timestamp(ms):63841.61 rotation(x,y,z):0,0,-13.228
02 timestamp(ms):63863.64 rotation(x,y,z):0,0,-12.331
02 timestamp(ms):63885.6 rotation(x,y,z):0,0,-11.452
02 timestamp(ms):63907.87 rotation(x,y,z):0,0,-10.571
