00 datatest
00 Data was recorded 60 times per second
00 Date and Time: 1/23/2023 2:14:48 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):23052.57  stage:1 time_period:10 sway_degree:-5 #_of_sways:60 rep:1
01 timestamp(ms):25729.62 force plate (fx, fy, fz, mx, my, mz):-0.04086876,0.0004520416,0.2373047,0.04266357,0.009277344,0.2157841
01 timestamp(ms):25744.76 force plate (fx, fy, fz, mx, my, mz):0.2874699,-0.2464352,0.2392578,0.05438232,0.02490234,0.08182144
01 timestamp(ms):25760.1 force plate (fx, fy, fz, mx, my, mz):-0.04801369,-0.2546368,0.4267578,0.1073608,0.0425415,-0.0130167
01 timestamp(ms):25782.71 force plate (fx, fy, fz, mx, my, mz):-0.04572678,-0.009366989,-0.1333008,0.04394531,0.07519531,-0.05588436
01 timestamp(ms):25793.45 force plate (fx, fy, fz, mx, my, mz):-0.3693314,-0.01033592,0.05224609,0.09521484,0.0267334,0.03613186
01 timestamp(ms):25814.06 force plate (fx, fy, fz, mx, my, mz):-0.3731136,-0.2530193,0.2373047,0.05438232,-0.006408691,0.07961655
01 timestamp(ms):25829.25 force plate (fx, fy, fz, mx, my, mz):-0.04499626,-0.007749557,0.05371094,-0.007873535,0.04217529,-0.05539894
01 timestamp(ms):25844.91 force plate (fx, fy, fz, mx, my, mz):-0.04765129,-0.2535229,0.2392578,0.05487061,0.009033203,-0.01266861
01 timestamp(ms):25860.38 force plate (fx, fy, fz, mx, my, mz):-0.048666,-0.2536793,0.2392578,0.05511475,-0.0574646,-0.01250935
01 timestamp(ms):25880.15 force plate (fx, fy, fz, mx, my, mz):-0.03762627,-0.2448177,0.04931641,0.001403809,-0.02404785,0.1744547
01 timestamp(ms):25895.28 force plate (fx, fy, fz, mx, my, mz):-0.04950905,-0.2520504,0.05273438,0.003112793,0.04205322,-0.01239967
01 timestamp(ms):25911.4 force plate (fx, fy, fz, mx, my, mz):-0.04499626,-0.007749557,0.05371094,-0.007873535,0.04217529,-0.05539894
01 timestamp(ms):25926.76 force plate (fx, fy, fz, mx, my, mz):0.2902317,-0.003908157,0.05419922,0.09552002,-0.008453369,0.03849602
01 timestamp(ms):25946.57 force plate (fx, fy, fz, mx, my, mz):0.2835026,-0.2478428,0.05322266,0.1071167,0.05795288,0.08141613
01 timestamp(ms):25961.98 force plate (fx, fy, fz, mx, my, mz):-0.3748608,-0.2547932,0.05029297,0.1065063,-0.03988647,0.07929039
