00 testrun
00 01
00 testingapp
00 Data was recorded 60 times per second
00 Date and Time: 9/27/2019 2:05:28 PM

00  BertecForcePlate_Recorder = 01
00  Raft = 02
00  Tracker = 03
00  SwayEvent = 21

21 timestamp(ms):78432.86  stage:1 time_period:3 sway_degree:-15 #_of_sways:4 rep:1
01 timestamp(ms):80697.98 force plate (fx, fy, fz, mx, my, mz):-6.46874,-2.021378,-2.187744,-12.55566,23.63559,-0.1059451
01 timestamp(ms):80719.4 force plate (fx, fy, fz, mx, my, mz):-6.46874,-2.021378,-2.187744,-12.55566,23.63559,-0.1059451
01 timestamp(ms):80741.42 force plate (fx, fy, fz, mx, my, mz):-6.14255,-2.020264,-1.999756,-12.60712,23.61813,-0.1977448
01 timestamp(ms):80763.73 force plate (fx, fy, fz, mx, my, mz):-9.14349,-1.358715,0.4404297,-11.53778,24.31055,-0.7270446
01 timestamp(ms):80786.06 force plate (fx, fy, fz, mx, my, mz):-9.139339,-1.115524,0.6293945,-11.49628,24.34412,-0.7703919
01 timestamp(ms):80808.49 force plate (fx, fy, fz, mx, my, mz):-8.482067,-1.353767,0.6291504,-11.48566,24.24228,-0.7249436
01 timestamp(ms):80830.7 force plate (fx, fy, fz, mx, my, mz):-8.475334,-1.109837,0.6296387,-11.49725,24.17587,-0.7678638
01 timestamp(ms):80853.3 force plate (fx, fy, fz, mx, my, mz):-3.523233,-2.011707,0.07226563,-13.38373,23.11243,-1.200383
01 timestamp(ms):80875.94 force plate (fx, fy, fz, mx, my, mz):-3.525713,-2.015099,-0.302002,-13.27966,23.11197,-1.201194
01 timestamp(ms):80898.05 force plate (fx, fy, fz, mx, my, mz):-3.188219,-1.515697,-0.1147461,-13.35437,23.09482,-1.107539
01 timestamp(ms):80920.17 force plate (fx, fy, fz, mx, my, mz):-3.187201,-1.760601,-0.3022461,-13.3949,23.12802,-1.148947
01 timestamp(ms):80942.62 force plate (fx, fy, fz, mx, my, mz):-3.198973,-1.526024,-0.1120605,-13.24902,23.16086,-1.295148
